State Name,Active,Recovered,Deaths
Andaman & Nicobar Island,179,3848,56
Andhra Pradesh,37102,735638,6406
Arunanchal Pradesh,3003,10315,30
Assam,28442,171084,865
Bihar,10848,191619,990
Chandigarh,915,12460,207
Chhattisgarh,27180,129883,1439
Dadara & Nagar Havelli,59,3119,2
Daman & Diu,32,32,32
Goa,3827,36035,538
Gujarat,14565,140282,3626
Haryana,10265,137176,1640
Himachal Pradesh,2680,15852,265
Jammu & Kashmir,8704,77288,1372
Jharkhand,6576,88559,832
Karnataka,110666,637481,10427
Kerala,96100,236989,1139
Lakshadweep,32,32,32
Madhya Pradesh,13698,142707,2753
Maharashtra,185750,1358606,41965
Manipur,3587,11443,111
Meghalaya,2295,6034,75
Mizoram,108,2145,32
Nagaland,1530,6141,27
NCT of Delhi,22884,298853,5981
Odisha,20997,244227,1121
Puducherry,4420,27984,574
Punjab,6230,116925,3999
Rajasthan,21255,148291,1735
Sikkim,275,3233,59
Tamil Nadu,40192,632708,10586
Telengana,22050,198790,1271
Tripura,2917,26222,329
Uttar Pradesh,34420,411611,6629
Uttarakhand,5538,51186,924
West Bengal,33121,277940,5992
